test_login.py               20 INFO     ======start_test_login_success======
remote_connection.py       388 DEBUG    POST http://127.0.0.1:53678/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"extensions": [], "args": []}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"extensions": [], "args": []}}}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:53678
connectionpool.py          393 DEBUG    http://127.0.0.1:53678 "POST /session HTTP/1.1" 200 999
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:53678/session/3632aaee9d67994e1c38e9990b182f82/url {"url": "http://bpm.hhtdlng.com", "sessionId": "3632aaee9d67994e1c38e9990b182f82"}
connectionpool.py          393 DEBUG    http://127.0.0.1:53678 "POST /session/3632aaee9d67994e1c38e9990b182f82/url HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:53678/session/3632aaee9d67994e1c38e9990b182f82/window/current/maximize {"windowHandle": "current", "sessionId": "3632aaee9d67994e1c38e9990b182f82"}
connectionpool.py          393 DEBUG    http://127.0.0.1:53678 "POST /session/3632aaee9d67994e1c38e9990b182f82/window/current/maximize HTTP/1.1" 200 109
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:53678/session/3632aaee9d67994e1c38e9990b182f82/timeouts/implicit_wait {"ms": 30000.0, "sessionId": "3632aaee9d67994e1c38e9990b182f82"}
connectionpool.py          393 DEBUG    http://127.0.0.1:53678 "POST /session/3632aaee9d67994e1c38e9990b182f82/timeouts/implicit_wait HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:53678/session/3632aaee9d67994e1c38e9990b182f82/element {"using": "xpath", "value": "//*[@id=\"app\"]/section/main/div[1]/div/div/div[2]/button", "sessionId": "3632aaee9d67994e1c38e9990b182f82"}
connectionpool.py          393 DEBUG    http://127.0.0.1:53678 "POST /session/3632aaee9d67994e1c38e9990b182f82/element HTTP/1.1" 200 104
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:53678/session/3632aaee9d67994e1c38e9990b182f82/element/0.036461952412963905-1/click {"id": "0.036461952412963905-1", "sessionId": "3632aaee9d67994e1c38e9990b182f82"}
connectionpool.py          393 DEBUG    http://127.0.0.1:53678 "POST /session/3632aaee9d67994e1c38e9990b182f82/element/0.036461952412963905-1/click HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
