test_login.py               20 INFO     ======start_test_login_success======
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"extensions": [], "args": []}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"extensions": [], "args": []}}}
connectionpool.py          205 DEBUG    Starting new HTTP connection (1): 127.0.0.1:50229
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session HTTP/1.1" 200 997
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/url {"url": "http://bpm.hhtdlng.com", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/url HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/window/current/maximize {"windowHandle": "current", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/window/current/maximize HTTP/1.1" 200 109
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/timeouts/implicit_wait {"ms": 30000.0, "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/timeouts/implicit_wait HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element {"using": "xpath", "value": "//*[@id=\"app\"]/section/main/div[1]/div/div/div[2]/button", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element HTTP/1.1" 200 103
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-1/click {"id": "0.19118145550834376-1", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-1/click HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element {"using": "xpath", "value": "//*[@id='app']/div/form/div[1]/div/div[1]/input", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element HTTP/1.1" 200 103
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-2/value {"text": "15275457888", "value": ["1", "5", "2", "7", "5", "4", "5", "7", "8", "8", "8"], "id": "0.19118145550834376-2", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-2/value HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element {"using": "xpath", "value": "//*[@id='app']/div/form/div[2]/div/div[1]/input", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element HTTP/1.1" 200 103
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-3/value {"text": "457888", "value": ["4", "5", "7", "8", "8", "8"], "id": "0.19118145550834376-3", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-3/value HTTP/1.1" 200 72
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element {"using": "xpath", "value": "//*[@id='app']/div/form/div[3]/div/div/div[1]/div/input", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element HTTP/1.1" 200 103
remote_connection.py       440 DEBUG    Finished Request
remote_connection.py       388 DEBUG    POST http://127.0.0.1:50229/session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-4/value {"text": "1471", "value": ["1", "4", "7", "1"], "id": "0.19118145550834376-4", "sessionId": "b407c2e6ddc6d08060179530c2919bf7"}
connectionpool.py          393 DEBUG    http://127.0.0.1:50229 "POST /session/b407c2e6ddc6d08060179530c2919bf7/element/0.19118145550834376-4/value HTTP/1.1" 200 72
